championName,cluster,AD Carry,Resilience,Support,AP Carry,Vulnerability,Tower Pushing
Lissandra,5,-0.5700670141688231,-1.1047154462652142,1.5964852664260758,2.2656536944151853,0.14951973922980755,0.22930038749667297
Lucian,3,1.334856411272755,-2.0788271757130965,-1.167822340277057,-1.2929843288440788,-0.11109970968225172,0.04107661432553682
Lulu,0,-5.555740629811936,-0.31038026905760163,2.1112185379462556,-1.6028958323502023,0.058795358183111816,0.33352907334368
Lux,0,-4.185679819241164,-0.8090320466910602,2.762935373570741,-0.1508129853513141,0.37290882447159135,-0.14775966749384084
Malphite,5,0.2914215658317144,-0.49206500859191504,0.6363644059423723,1.6734824970450368,-0.27133914388633545,1.356288197044825
Malzahar,5,-0.6660990463135932,-1.6576862540862836,1.458515384590053,2.644186497058828,-0.5390923524140308,0.6116372711272682
Maokai,0,-3.7952346953573204,1.536997297653561,2.288165644571634,-0.9737927191751818,0.9151026977400056,0.7685415111602033
MasterYi,6,2.772087578756034,2.695432367843866,-0.5853868704016467,-1.6138206046569306,-1.2636414677235441,-1.3619563335412521
Milio,0,-5.7079262562291175,-0.2556644895037564,1.9881400953834831,-2.4151209163684006,-0.504910979953763,0.5116800981291247
MissFortune,3,1.3779451052428076,-2.418289574222885,-1.283569387762785,-1.7932376638954848,-0.0801313817208172,-0.10703558229775698
MonkeyKing,6,2.0071969934704894,2.5832836507645953,-0.05175360202066123,-1.3844865320060822,-1.4827763432066117,-0.47847817636201484
Mordekaiser,5,1.0824523247370728,0.032903234078824756,0.6826010653192653,2.5654924293461363,-0.03335466632877082,0.7122739083847854
Morgana,0,-4.111366349098608,0.2383983287126835,2.6677493916448665,-0.2287457292497359,0.3930587920459514,0.11082464515269129
Naafiri,3,1.8507987123875653,-1.7127087676003032,-1.2850412556747635,-1.5160232122594364,0.23964518000050275,0.06979878121040495
Nami,0,-5.271850087080483,-0.1048313088857065,2.3561767637985747,-1.8404001215137586,-0.018329061848795583,0.31678565843672024
Nasus,1,0.9904134135790703,1.3223796422637326,-1.6574487519128271,1.1752479379151637,0.29716146371490804,1.8217211977027234
Nautilus,0,-4.160262045028796,1.2154490165274254,1.5299281648529526,-1.0146010070994305,1.0823174089442993,0.824518983484405
Neeko,5,-0.7548376259427069,-1.2334150947874765,1.5576365558188803,1.9990178774977447,-0.37564187610623484,0.06330019386648339
Nidalee,6,0.9197307789124662,2.5157531952425494,1.8808520423375108,0.39319047044522426,-1.567958252628518,-1.3415335600259581
Nilah,3,1.5345329901828961,-1.7921279764842226,-1.5249694718952074,-2.3630987454143346,0.01489071811024221,0.5142289569988492
Nocturne,6,2.0292859981639326,3.5874684706309994,0.6934425201415781,-1.5435869825731032,-0.4726258256165186,-0.18983084530187389
Nunu,6,0.8267007464218026,3.8373723691266903,1.1932738901610822,0.9369243396561158,-1.7102392579891834,-1.0309661433694959
Olaf,1,1.1474004588115,1.1810284627935648,-2.475038499099416,-0.3280826886834389,0.7741993044967143,0.7569220921975026
Orianna,5,-1.01580469910844,-1.917884838877998,1.9539062492956223,1.856384964019191,-0.4153422832609277,0.4032070803435757
Ornn,1,-0.06660450282899369,1.6273638507315198,-0.8679311683384725,2.2500305314768125,0.8164367470864944,1.9030043925167925
Pantheon,1,0.040866491568773956,0.3093757685452829,-2.030254284798942,-0.34486773660671394,1.366847454856483,-0.13173610132786356
Poppy,1,-0.07848056871327433,1.4943461206016873,-1.4792313440805807,0.5874029245486343,0.5257724741709902,1.2293422723820857
Pyke,0,-2.8149411486805582,0.36023920960781175,0.8956976430425644,-3.3463046939741523,1.7812930720307414,-0.6519665620054145
Qiyana,3,1.5084844163909787,-1.957024961866055,-0.4919140259479138,-0.19129548116974,0.43820444600235486,-0.00694067496747861
Quinn,3,1.8868444965718245,-1.6452373872323487,-1.2291469785976448,-1.1274790243333181,-0.07939369634404081,0.5804660563312838
Rakan,0,-5.137810626994951,0.7486339552510528,2.0982131337338963,-2.105339750326185,0.45151666867307605,0.8256894634561676
Rammus,6,0.5553481008202004,3.661601422871086,1.1296652829424858,0.18466805462933772,-1.489109927097798,0.34249310481613165
RekSai,6,2.46932999292729,3.1936467149224654,-0.4954452320314946,-2.067909974743254,-1.0326690406055696,-0.6693027474374084
Rell,0,-4.3870660705257745,1.1346027727256949,1.6028898739012356,-1.148961910738501,0.8175957925774477,0.7426417894766292
Renata,0,-4.707858552499813,0.3608675587914904,1.995284999768321,-1.6572547093382635,0.762573109380411,0.5912608561226893
Renekton,1,0.8748478655790266,0.9827922209198627,-2.0784738613379803,0.4300329081307588,0.9084221229786381,1.2994330463964303
Rengar,6,2.529516373018925,2.4508515682960614,-0.8095153852563561,-1.5680633915147044,-1.3339054098922236,-1.218618769852906
